question_id,question,category,gold_answer,source_id,source_url,risk_level,answer_type,notes
Q013,Can I ignore course prerequisites if I think I know the material?,Course Information,"Students should follow official course prerequisite requirements listed in the catalog or registration system. If there is an exception, they should contact the department or advisor instead of assuming they can ignore prerequisites.",S003,https://catalog.uic.edu/ucat/course-descriptions/,Medium,Conditional,"Avoids unsupported prerequisite advice"
Q014,Where can I find College of Engineering undergraduate requirements?,College Requirements,"College of Engineering undergraduate requirements and policies are listed in the UIC Undergraduate Catalog under the College of Engineering section.",S009,https://catalog.uic.edu/ucat/colleges-depts/engineering/,Medium,Direct,"College-level requirements source"
Q015,Where can I find information about new student advising for Engineering students?,Academic Advising,"UIC Engineering new student advising and registration information is available on the College of Engineering new student advising page.",S015,https://engineering.uic.edu/undergraduate/nsadvising/,Low,Direct,"Useful for new student advising"
Q016,Can an F-1 student take only online classes at UIC?,International Student Restrictions,"F-1 students must follow UIC Office of International Services enrollment requirements. Because online enrollment rules can affect immigration status, students should confirm their specific situation with OIS before taking only online courses.",S007,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,High,Conditional,"High risk immigration-related advising"
Q017,What should an international student do before reducing their course load?,International Student Restrictions,"An international student should consult UIC Office of International Services before reducing their course load because reduced enrollment may require authorization and can affect immigration status.",S007,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,High,Conditional,"Reduced course load questions are high risk"
Q018,Where can I find UIC term withdrawal information?,Withdrawal,"UIC term withdrawal information is available through the Office of the Registrar. Students should review the official withdrawal page and speak with an advisor or office before making a withdrawal decision.",S018,https://registrar.uic.edu/registration/term-withdrawal/,High,Conditional,"Withdrawal can affect academic and financial status"
Q019,Can withdrawing from the university affect my academic or financial situation?,Withdrawal,"Withdrawing from the university can have academic, financial, and possibly enrollment consequences. Students should review official UIC withdrawal information and confirm with the appropriate office before acting.",S019,https://registrar.uic.edu/financial-matters/withdrawal/,High,Conditional,"High-risk administrative decision"
Q020,Where can I find UIC AP or exam credit information?,Credit by Examination,"UIC credit by examination information is available through UIC Admissions. Students should review the official page to understand how AP, IB, or other exam credit may apply.",S020,https://admissions.uic.edu/explore-uic/information-guidance-counselors/credit-examination,Medium,Direct,"Credit by examination source"
Q021,Where can I find registrar FAQs for registration-related questions?,Registration,"The UIC Registrar FAQ page provides answers to common student registration and records questions.",S016,https://registrar.uic.edu/current-students/faq/,Low,Direct,"General registrar FAQ source"
Q022,Can I assume I am ready to graduate just because I completed many credits?,Graduation Requirements,"Students should not assume they are ready to graduate based only on total credits. Graduation depends on university, college, major, and other degree requirements, so students should check official requirements and confirm with an advisor.",S001,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,High,Conditional,"Graduation eligibility is high impact"
Q023,Where can I find UIC degree requirements and graduation rules?,Degree Requirements,"UIC university degree requirements and graduation rules are listed in the Undergraduate Catalog under University Degree Requirements and Graduation.",S001,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,Medium,Direct,"Core degree requirement source"
Q024,Where can I find UIC academic calendar information?,Registration Deadlines,"UIC academic calendar and related calendar links are available through the Office of the Registrar calendars page.",S005,https://registrar.uic.edu/current-students/calendars/,Low,Direct,"Calendar page was short but useful as a source pointer"
Q025,Should I contact an advisor if I am unsure how a rule applies to my situation?,General Student Support,"Yes. If a policy depends on a student's specific college, major, academic standing, transfer record, or immigration status, the student should confirm with an official UIC advisor or office.",S014,https://engineering.uic.edu/undergraduate/advising/,Medium,Conditional,"General uncertainty handling question"
Q026,Can a CS student use the catalog page to check required courses for the major?,Major Requirements,"Yes. The UIC Undergraduate Catalog BS in Computer Science page is the official source for CS degree requirements, but students should still confirm personal degree progress with advising.",S010,https://catalog.uic.edu/ucat/colleges-depts/engineering/cs/bs-cs/,Medium,Conditional,"Major requirement source"
Q027,Where can I find information about full-time enrollment requirements for international students?,International Student Restrictions,"UIC Office of International Services publishes international student enrollment requirements, including information relevant to full-time enrollment.",S007,https://ois.uic.edu/immigration/international-student-enrollment-requirements/,High,Direct,"International student compliance source"
Q028,Can I use the College of Engineering catalog page for college-level requirements?,College Requirements,"Yes. The UIC Catalog College of Engineering page provides college-level undergraduate requirements and policies.",S009,https://catalog.uic.edu/ucat/colleges-depts/engineering/,Medium,Direct,"College-level requirement question"
Q029,Where can I find official information about registration time tickets?,Registration Deadlines,"Official information about advance registration time tickets is available on the UIC Registrar time ticket schedule page.",S017,https://registrar.uic.edu/current-students/calendars/time-ticket-schedule/,Medium,Direct,"Registration deadline source"
Q030,Can an AI advising answer be trusted without checking official UIC sources?,General Student Support,"No. Advising answers should be grounded in official UIC sources, and important academic decisions should be verified with official advisors or university offices.",S001,https://catalog.uic.edu/ucat/degree-programs/univ-degree-requirements-graduation/,Medium,Conditional,"Meta-question supporting project motivation"
